word,count
the,choking,of,1
choking,of,the,1
of,the,suppressed,1
the,suppressed,guineapigs,1
suppressed,guineapigs,filled,1
guineapigs,filled,the,1
filled,the,air,1
the,air,mixed,1
air,mixed,up,1
mixed,up,with,1
up,with,the,1
with,the,distant,1
the,distant,sobs,1
distant,sobs,of,1
sobs,of,the,1
of,the,miserable,1
the,miserable,Mock,1
miserable,Mock,Turtle,1
Mock,Turtle,So,1
Turtle,So,she,1
So,she,sat,1
she,sat,on,1
sat,on,with,1
on,with,closed,1
with,closed,eyes,1
closed,eyes,and,1
eyes,and,half,1
and,half,believed,1
half,believed,herself,1
believed,herself,in,1
herself,in,Wonderland,1
in,Wonderland,though,1
Wonderland,though,she,1
though,she,knew,1
she,knew,she,1
knew,she,had,1
she,had,but,1
had,but,to,1
but,to,open,1
to,open,them,1
open,them,again,1
them,again,and,1
again,and,all,1
and,all,would,1
all,would,change,1
change,to,dull,1
to,dull,realitythe,1
dull,realitythe,grass,1
realitythe,grass,would,1
grass,would,be,1
would,be,only,1
be,only,rustling,1
only,rustling,in,1
rustling,in,the,1
in,the,wind,1
wind,and,the,1
and,the,pool,1
the,pool,rippling,1
pool,rippling,to,1
rippling,to,the,1
to,the,waving,1
the,waving,of,1
waving,of,the,1
of,the,reedsthe,1
the,reedsthe,rattling,1
reedsthe,rattling,teacups,1
rattling,teacups,would,1
teacups,would,change,1
change,to,tinkling,1
to,tinkling,sheepbells,1
tinkling,sheepbells,and,1
sheepbells,and,the,1
and,the,Queens,1
the,Queens,shrill,1
Queens,shrill,cries,1
shrill,cries,to,1
cries,to,the,1
to,the,voice,1
of,the,shepherd,1
the,shepherd,boyand,1
shepherd,boyand,the,1
boyand,the,sneeze,1
the,sneeze,of,1
sneeze,of,the,1
the,baby,the,1
baby,the,shriek,1
Gryphon,and,all,1
all,the,other,1
the,other,queer,1
other,queer,noises,1
queer,noises,would,1
noises,would,change,1
would,change,she,1
change,she,knew,1
she,knew,to,1
knew,to,the,1
to,the,confused,1
the,confused,clamour,1
confused,clamour,of,1
clamour,of,the,1
of,the,busy,1
the,busy,farmyardwhile,1
busy,farmyardwhile,the,1
farmyardwhile,the,lowing,1
the,lowing,of,1
lowing,of,the,1
of,the,cattle,1
the,cattle,in,1
cattle,in,the,1
the,distance,would,1
distance,would,take,1
would,take,the,1
take,the,place,1
the,Mock,Turtles,1
Mock,Turtles,heavy,1
Turtles,heavy,sobs,1
heavy,sobs,Lastly,1
sobs,Lastly,she,1
Lastly,she,pictured,1
she,pictured,to,1
pictured,to,herself,1
herself,how,this,1
how,this,same,1
this,same,little,1
same,little,sister,1
little,sister,of,1
sister,of,hers,1
of,hers,would,1
hers,would,in,1
would,in,the,1
in,the,aftertime,1
the,aftertime,be,1
aftertime,be,herself,1
be,herself,a,1
herself,a,grown,1
a,grown,woman,1
grown,woman,and,1
woman,and,how,1
she,would,keep,1
would,keep,through,1
keep,through,all,1
through,all,her,1
all,her,riper,1
her,riper,years,1
riper,years,the,1
years,the,simple,1
the,simple,and,1
simple,and,loving,1
and,loving,heart,1
loving,heart,of,1
heart,of,her,1
of,her,childhood,1
her,childhood,and,1
childhood,and,how,1
she,would,gather,1
would,gather,about,1
gather,about,her,1
about,her,other,1
her,other,little,1
other,little,children,1
little,children,and,1
children,and,make,1
and,make,THEIR,1
make,THEIR,eyes,1
THEIR,eyes,bright,1
eyes,bright,and,1
bright,and,eager,1
and,eager,with,1
eager,with,many,1
with,many,a,1
many,a,strange,1
a,strange,tale,1
strange,tale,perhaps,1
tale,perhaps,even,1
perhaps,even,with,1
even,with,the,1
with,the,dream,1
the,dream,of,1
dream,of,Wonderland,1
of,Wonderland,of,1
Wonderland,of,long,1
of,long,ago,1
long,ago,and,1
ago,and,how,1
she,would,feel,1
would,feel,with,1
feel,with,all,1
with,all,their,1
their,simple,sorrows,1
simple,sorrows,and,1
sorrows,and,find,1
and,find,a,1
find,a,pleasure,1
a,pleasure,in,1
pleasure,in,all,1
in,all,their,1
their,simple,joys,1
simple,joys,remembering,1
joys,remembering,her,1
remembering,her,own,1
her,own,childlife,1
own,childlife,and,1
childlife,and,the,1
and,the,happy,1
the,happy,summer,1
happy,summer,days,1
summer,days,THE,1
days,THE,END,1
THE,END,End,1
END,End,of,1
End,of,Project,1
of,Project,Gutenbergs,1
Lewis,Carroll,END,1
Carroll,END,OF,1
END,OF,THIS,1
IN,WONDERLAND,This,1
WONDERLAND,This,file,1
This,file,should,1
file,should,be,1
should,be,named,1
be,named,110txt,1
named,110txt,or,1
110txt,or,110zip,1
or,110zip,This,1
110zip,This,and,1
This,and,all,1
and,all,associated,1
all,associated,files,1
associated,files,of,1
files,of,various,1
of,various,formats,1
various,formats,will,1
formats,will,be,1
will,be,found,1
be,found,in,1
found,in,httpwwwgutenbergorg111,1
in,httpwwwgutenbergorg111,Updated,1
httpwwwgutenbergorg111,Updated,editions,1
Updated,editions,will,1
editions,will,replace,1
will,replace,the,1
replace,the,previous,1
the,previous,onethe,1
previous,onethe,old,1
onethe,old,editions,1
old,editions,will,1
editions,will,be,1
will,be,renamed,1
be,renamed,Creating,1
renamed,Creating,the,1
Creating,the,works,1
the,works,from,1
works,from,public,1
from,public,domain,1
public,domain,print,1
domain,print,editions,1
print,editions,means,1
editions,means,that,1
means,that,no,1
that,no,one,1
no,one,owns,1
one,owns,a,1
owns,a,United,1
a,United,States,1
United,States,copyright,1
States,copyright,in,1
copyright,in,these,1
in,these,works,1
these,works,so,1
works,so,the,1
so,the,Foundation,1
the,Foundation,and,1
Foundation,and,you,1
and,you,can,1
you,can,copy,1
can,copy,and,1
copy,and,distribute,1
and,distribute,it,1
distribute,it,in,1
States,without,permission,1
without,permission,and,1
permission,and,without,1
and,without,paying,1
without,paying,copyright,1
paying,copyright,royalties,1
copyright,royalties,Special,1
royalties,Special,rules,1
Special,rules,set,1
rules,set,forth,1
forth,in,the,1
in,the,General,1
the,General,Terms,1
of,Use,part,1
Use,part,of,1
this,license,apply,1
license,apply,to,1
apply,to,copying,1
to,copying,and,1
copying,and,distributing,1
and,distributing,Project,1
electronic,works,to,1
works,to,protect,1
to,protect,the,1
protect,the,PROJECT,1
the,PROJECT,GUTENBERGtm,1
PROJECT,GUTENBERGtm,concept,1
GUTENBERGtm,concept,and,1
concept,and,trademark,1
and,trademark,Project,1
trademark,Project,Gutenberg,1
registered,trademark,and,1
trademark,and,may,1
and,may,not,1
may,not,be,1
not,be,used,1
be,used,if,1
used,if,you,1
if,you,charge,1
you,charge,for,1
charge,for,the,1
for,the,eBooks,1
the,eBooks,unless,1
eBooks,unless,you,1
unless,you,receive,1
you,receive,specific,1
receive,specific,permission,1
specific,permission,If,1
permission,If,you,1
do,not,charge,1
not,charge,anything,1
charge,anything,for,1
anything,for,copies,1
copies,of,this,1
of,this,eBook,1
this,eBook,complying,1
eBook,complying,with,1
with,the,rules,1
the,rules,is,1
rules,is,very,1
is,very,easy,1
very,easy,You,1
easy,You,may,1
You,may,use,1
may,use,this,1
use,this,eBook,1
this,eBook,for,1
eBook,for,nearly,1
for,nearly,any,1
nearly,any,purpose,1
any,purpose,such,1
purpose,such,as,1
such,as,creation,1
as,creation,of,1
creation,of,derivative,1
of,derivative,works,1
derivative,works,reports,1
works,reports,performances,1
reports,performances,and,1
performances,and,research,1
and,research,They,1
research,They,may,1
They,may,be,1
may,be,modified,1
be,modified,and,1
modified,and,printed,1
and,printed,and,1
printed,and,given,1
and,given,awayyou,1
given,awayyou,may,1
awayyou,may,do,1
may,do,practically,1
do,practically,ANYTHING,1
practically,ANYTHING,with,1
ANYTHING,with,public,1
with,public,domain,1
public,domain,eBooks,1
domain,eBooks,Redistribution,1
eBooks,Redistribution,is,1
Redistribution,is,subject,1
is,subject,to,1
subject,to,the,1
to,the,trademark,1
the,trademark,license,1
trademark,license,especially,1
license,especially,commercial,1
especially,commercial,redistribution,1
commercial,redistribution,START,1
redistribution,START,FULL,1
START,FULL,LICENSE,1
FULL,LICENSE,THE,1
LICENSE,THE,FULL,1
THE,FULL,PROJECT,1
FULL,PROJECT,GUTENBERG,1
PROJECT,GUTENBERG,LICENSE,1
GUTENBERG,LICENSE,PLEASE,1
LICENSE,PLEASE,READ,1
PLEASE,READ,THIS,1
READ,THIS,BEFORE,1
THIS,BEFORE,YOU,1
BEFORE,YOU,DISTRIBUTE,1
YOU,DISTRIBUTE,OR,1
DISTRIBUTE,OR,USE,1
OR,USE,THIS,1
USE,THIS,WORK,1
THIS,WORK,To,1
WORK,To,protect,1
To,protect,the,1
protect,the,Project,1
of,promoting,the,1
promoting,the,free,1
works,by,using,1
by,using,or,1
using,or,distributing,1
or,distributing,this,1
distributing,this,work,1
work,associated,in,1
way,with,the,1
Project,Gutenberg,you,1
Gutenberg,you,agree,1
you,agree,to,1
agree,to,comply,1
to,comply,with,1
with,all,the,1
of,the,Full,1
the,Full,Project,1
Full,Project,Gutenbergtm,1
Gutenbergtm,License,available,1
License,available,with,1
available,with,this,1
with,this,file,1
this,file,or,1
file,or,online,1
online,at,httpgutenbergorglicense,1
at,httpgutenbergorglicense,Section,1
httpgutenbergorglicense,Section,1,1
Section,1,General,1
1,General,Terms,1
of,Use,and,1
Use,and,Redistributing,1
and,Redistributing,Project,1
Redistributing,Project,Gutenbergtm,1
electronic,works,1A,1
works,1A,By,1
1A,By,reading,1
By,reading,or,1
reading,or,using,1
or,using,any,1
using,any,part,1
of,this,Project,1
this,Project,Gutenbergtm,1
electronic,work,you,1
work,you,indicate,1
you,indicate,that,1
indicate,that,you,1
you,have,read,1
have,read,understand,1
read,understand,agree,1
understand,agree,to,1
agree,to,and,1
to,and,accept,1
and,accept,all,1
accept,all,the,1
this,license,and,1
license,and,intellectual,1
and,intellectual,property,1
intellectual,property,trademarkcopyright,1
property,trademarkcopyright,agreement,1
trademarkcopyright,agreement,If,1
agreement,If,you,1
agree,to,abide,1
to,abide,by,1
abide,by,all,1
by,all,the,1
you,must,cease,1
must,cease,using,1
cease,using,and,1
using,and,return,1
and,return,or,1
works,in,your,1
in,your,possession,1
your,possession,If,1
possession,If,you,1
If,you,paid,1
you,paid,a,1
paid,a,fee,1
fee,for,obtaining,1
for,obtaining,a,1
a,copy,of,1
copy,of,or,1
of,or,access,1
or,access,to,1
to,a,Project,1
electronic,work,and,1
work,and,you,1
and,you,do,1
agreement,you,may,1
you,may,obtain,1
may,obtain,a,1
obtain,a,refund,1
a,refund,from,1
refund,from,the,1
from,the,person,1
or,entity,to,1
entity,to,whom,1
to,whom,you,1
whom,you,paid,1
you,paid,the,1
paid,the,fee,1
the,fee,as,1
fee,as,set,1
in,paragraph,1E8,1
paragraph,1E8,1B,1
1E8,1B,Project,1
1B,Project,Gutenberg,1
registered,trademark,It,1
trademark,It,may,1
It,may,only,1
may,only,be,1
only,be,used,1
be,used,on,1
used,on,or,1
on,or,associated,1
or,associated,in,1
way,with,an,1
with,an,electronic,1
an,electronic,work,1
electronic,work,by,1
work,by,people,1
by,people,who,1
people,who,agree,1
who,agree,to,1
this,agreement,There,1
agreement,There,are,1
are,a,few,1
a,few,things,1
few,things,that,1
things,that,you,1
that,you,can,1
do,with,most,1
with,most,Project,1
most,Project,Gutenbergtm,1
electronic,works,even,1
works,even,without,1
even,without,complying,1
without,complying,with,1
with,the,full,1
this,agreement,See,1
agreement,See,paragraph,1
See,paragraph,1C,1
paragraph,1C,below,1
1C,below,There,1
below,There,are,1
are,a,lot,1
a,lot,of,1
lot,of,things,1
of,things,you,1
things,you,can,1
do,with,Project,1
electronic,works,if,1
works,if,you,1
if,you,follow,1
you,follow,the,1
follow,the,terms,1
agreement,and,help,1
and,help,preserve,1
help,preserve,free,1
preserve,free,future,1
free,future,access,1
future,access,to,1
access,to,Project,1
to,Project,Gutenbergtm,1
electronic,works,See,1
works,See,paragraph,1
See,paragraph,1E,1
paragraph,1E,below,1
1E,below,1C,1
below,1C,The,1
1C,The,Project,1
Foundation,the,Foundation,1
the,Foundation,or,1
Foundation,or,PGLAF,1
or,PGLAF,owns,1
PGLAF,owns,a,1
owns,a,compilation,1
a,compilation,copyright,1
compilation,copyright,in,1
copyright,in,the,1
the,collection,of,1
collection,of,Project,1
electronic,works,Nearly,1
works,Nearly,all,1
Nearly,all,the,1
all,the,individual,1
the,individual,works,1
individual,works,in,1
works,in,the,1
the,collection,are,1
collection,are,in,1
are,in,the,1
United,States,If,1
States,If,an,1
an,individual,work,1
individual,work,is,1
work,is,in,1
is,in,the,1
United,States,and,1
States,and,you,1
and,you,are,1
are,located,in,1
located,in,the,1
United,States,we,1
States,we,do,1
we,do,not,1
do,not,claim,1
not,claim,a,1
claim,a,right,1
right,to,prevent,1
to,prevent,you,1
prevent,you,from,1
you,from,copying,1
from,copying,distributing,1
copying,distributing,performing,1
distributing,performing,displaying,1
performing,displaying,or,1
displaying,or,creating,1
based,on,the,1
the,work,as,1
work,as,long,1
long,as,all,1
as,all,references,1
Project,Gutenberg,are,1
Gutenberg,are,removed,1
are,removed,Of,1
removed,Of,course,1
Of,course,we,1
course,we,hope,1
we,hope,that,1
hope,that,you,1
that,you,will,1
you,will,support,1
will,support,the,1
support,the,Project,1
of,promoting,free,1
promoting,free,access,1
free,access,to,1
access,to,electronic,1
to,electronic,works,1
works,by,freely,1
by,freely,sharing,1
freely,sharing,Project,1
sharing,Project,Gutenbergtm,1
Gutenbergtm,works,in,1
works,in,compliance,1
in,compliance,with,1
compliance,with,the,1
agreement,for,keeping,1
for,keeping,the,1
keeping,the,Project,1
Project,Gutenbergtm,name,1
Gutenbergtm,name,associated,1
name,associated,with,1
with,the,work,1
work,You,can,1
You,can,easily,1
can,easily,comply,1
easily,comply,with,1
comply,with,the,1
this,agreement,by,1
agreement,by,keeping,1
by,keeping,this,1
keeping,this,work,1
work,in,the,1
the,same,format,1
same,format,with,1
format,with,its,1
with,its,attached,1
its,attached,full,1
attached,full,Project,1
Gutenbergtm,License,when,1
License,when,you,1
when,you,share,1
you,share,it,1
share,it,without,1
it,without,charge,1
without,charge,with,1
charge,with,others,1
with,others,1D,1
others,1D,The,1
1D,The,copyright,1
The,copyright,laws,1
copyright,laws,of,1
of,the,place,1
place,where,you,1
where,you,are,1
are,located,also,1
located,also,govern,1
also,govern,what,1
govern,what,you,1
what,you,can,1
with,this,work,1
this,work,Copyright,1
work,Copyright,laws,1
Copyright,laws,in,1
laws,in,most,1
in,most,countries,1
most,countries,are,1
countries,are,in,1
are,in,a,1
in,a,constant,1
a,constant,state,1
constant,state,of,1
state,of,change,1
of,change,If,1
change,If,you,1
you,are,outside,1
are,outside,the,1
United,States,check,1
States,check,the,1
check,the,laws,1
laws,of,your,1
of,your,country,1
your,country,in,1
country,in,addition,1
in,addition,to,1
addition,to,the,1
this,agreement,before,1
agreement,before,downloading,1
before,downloading,copying,1
downloading,copying,displaying,1
copying,displaying,performing,1
displaying,performing,distributing,1
performing,distributing,or,1
distributing,or,creating,1
based,on,this,1
on,this,work,1
any,other,Project,1
other,Project,Gutenbergtm,1
Gutenbergtm,work,The,1
work,The,Foundation,1
The,Foundation,makes,1
Foundation,makes,no,1
makes,no,representations,1
no,representations,concerning,1
representations,concerning,the,1
concerning,the,copyright,1
the,copyright,status,1
copyright,status,of,1
status,of,any,1
of,any,work,1
any,work,in,1
in,any,country,1
any,country,outside,1
country,outside,the,1
United,States,1E,1
States,1E,Unless,1
1E,Unless,you,1
Unless,you,have,1
you,have,removed,1
have,removed,all,1
removed,all,references,1
Project,Gutenberg,1E1,1
Gutenberg,1E1,The,1
1E1,The,following,1
The,following,sentence,1
following,sentence,with,1
sentence,with,active,1
active,links,to,1
links,to,or,1
to,or,other,1
or,other,immediate,1
other,immediate,access,1
Gutenbergtm,License,must,1
License,must,appear,1
must,appear,prominently,1
appear,prominently,whenever,1
prominently,whenever,any,1
whenever,any,copy,1
any,copy,of,1
copy,of,a,1
Gutenbergtm,work,any,1
work,any,work,1
any,work,on,1
work,on,which,1
Project,Gutenberg,appears,1
Gutenberg,appears,or,1
appears,or,with,1
or,with,which,1
with,which,the,1
Gutenberg,is,associated,1
is,associated,is,1
associated,is,accessed,1
is,accessed,displayed,1
accessed,displayed,performed,1
displayed,performed,viewed,1
performed,viewed,copied,1
viewed,copied,or,1
copied,or,distributed,1
or,distributed,This,1
distributed,This,eBook,1
at,wwwgutenbergorg,1E2,1
wwwgutenbergorg,1E2,If,1
1E2,If,an,1
work,is,derived,1
is,derived,from,1
derived,from,the,1
from,the,public,1
public,domain,does,1
domain,does,not,1
does,not,contain,1
not,contain,a,1
contain,a,notice,1
a,notice,indicating,1
notice,indicating,that,1
indicating,that,it,1
it,is,posted,1
posted,with,permission,1
with,permission,of,1
copyright,holder,the,1
holder,the,work,1
the,work,can,1
work,can,be,1
can,be,copied,1
be,copied,and,1
copied,and,distributed,1
and,distributed,to,1
distributed,to,anyone,1
to,anyone,in,1
anyone,in,the,1
States,without,paying,1
without,paying,any,1
paying,any,fees,1
any,fees,or,1
fees,or,charges,1
or,charges,If,1
charges,If,you,1
you,are,redistributing,1
are,redistributing,or,1
redistributing,or,providing,1
to,a,work,1
a,work,with,1
work,with,the,1
Project,Gutenberg,associated,1
Gutenberg,associated,with,1
associated,with,or,1
with,or,appearing,1
or,appearing,on,1
appearing,on,the,1
the,work,you,1
work,you,must,1
you,must,comply,1
must,comply,either,1
comply,either,with,1
either,with,the,1
with,the,requirements,1
the,requirements,of,1
requirements,of,paragraphs,1
of,paragraphs,1E1,1
through,1E7,or,1
1E7,or,obtain,1
or,obtain,permission,1
obtain,permission,for,1
permission,for,the,1
use,of,the,1
the,work,and,1
work,and,the,1
and,the,Project,1
Gutenbergtm,trademark,as,1
trademark,as,set,1
forth,in,paragraphs,1
in,paragraphs,1E8,1
paragraphs,1E8,or,1
or,1E9,1E3,1
1E9,1E3,If,1
1E3,If,an,1
work,is,posted,1
copyright,holder,your,1
holder,your,use,1
your,use,and,1
use,and,distribution,1
and,distribution,must,1
distribution,must,comply,1
must,comply,with,1
comply,with,both,1
with,both,paragraphs,1
both,paragraphs,1E1,1
through,1E7,and,1
1E7,and,any,1
and,any,additional,1
any,additional,terms,1
additional,terms,imposed,1
terms,imposed,by,1
imposed,by,the,1
by,the,copyright,1
copyright,holder,Additional,1
holder,Additional,terms,1
Additional,terms,will,1
terms,will,be,1
will,be,linked,1
be,linked,to,1
linked,to,the,1
Gutenbergtm,License,for,1
License,for,all,1
for,all,works,1
all,works,posted,1
works,posted,with,1
copyright,holder,found,1
holder,found,at,1
beginning,of,this,1
this,work,1E4,1
work,1E4,Do,1
1E4,Do,not,1
Do,not,unlink,1
not,unlink,or,1
unlink,or,detach,1
or,detach,or,1
detach,or,remove,1
or,remove,the,1
remove,the,full,1
Gutenbergtm,License,terms,1
License,terms,from,1
terms,from,this,1
from,this,work,1
or,any,files,1
any,files,containing,1
files,containing,a,1
containing,a,part,1
a,part,of,1
work,associated,with,1
associated,with,Project,1
Project,Gutenbergtm,1E5,1
Gutenbergtm,1E5,Do,1
1E5,Do,not,1
Do,not,copy,1
not,copy,display,1
copy,display,perform,1
display,perform,distribute,1
perform,distribute,or,1
distribute,or,redistribute,1
or,redistribute,this,1
redistribute,this,electronic,1
or,any,part,1
of,this,electronic,1
electronic,work,without,1
work,without,prominently,1
without,prominently,displaying,1
prominently,displaying,the,1
displaying,the,sentence,1
the,sentence,set,1
sentence,set,forth,1
paragraph,1E1,with,1
1E1,with,active,1
active,links,or,1
links,or,immediate,1
or,immediate,access,1
Gutenbergtm,License,1E6,1
License,1E6,You,1
1E6,You,may,1
You,may,convert,1
may,convert,to,1
convert,to,and,1
to,and,distribute,1
and,distribute,this,1
distribute,this,work,1
in,any,binary,1
any,binary,compressed,1
binary,compressed,marked,1
compressed,marked,up,1
marked,up,nonproprietary,1
up,nonproprietary,or,1
nonproprietary,or,proprietary,1
or,proprietary,form,1
proprietary,form,including,1
form,including,any,1
including,any,word,1
any,word,processing,1
word,processing,or,1
processing,or,hypertext,1
or,hypertext,form,1
hypertext,form,However,1
form,However,if,1
However,if,you,1
if,you,provide,1
you,provide,access,1
provide,access,to,1
to,or,distribute,1
or,distribute,copies,1
distribute,copies,of,1
copies,of,a,1
Gutenbergtm,work,in,1
work,in,a,1
in,a,format,1
a,format,other,1
format,other,than,1
other,than,Plain,1
than,Plain,Vanilla,1
or,other,format,1
other,format,used,1
format,used,in,1
used,in,the,1
in,the,official,1
the,official,version,1
official,version,posted,1
version,posted,on,1
posted,on,the,1
on,the,official,1
the,official,Project,1
official,Project,Gutenbergtm,1
Project,Gutenbergtm,web,1
Gutenbergtm,web,site,1
web,site,wwwgutenbergorg,1
site,wwwgutenbergorg,you,1
wwwgutenbergorg,you,must,1
you,must,at,1
must,at,no,1
at,no,additional,1
no,additional,cost,1
additional,cost,fee,1
cost,fee,or,1
fee,or,expense,1
or,expense,to,1
expense,to,the,1
to,the,user,1
the,user,provide,1
user,provide,a,1
provide,a,copy,1
a,copy,a,1
copy,a,means,1
means,of,exporting,1
of,exporting,a,1
exporting,a,copy,1
a,copy,or,1
copy,or,a,1
or,a,means,1
means,of,obtaining,1
of,obtaining,a,1
a,copy,upon,1
copy,upon,request,1
upon,request,of,1
request,of,the,1
the,work,in,1
work,in,its,1
in,its,original,1
its,original,Plain,1
original,Plain,Vanilla,1
or,other,form,1
other,form,Any,1
form,Any,alternate,1
Any,alternate,format,1
alternate,format,must,1
format,must,include,1
must,include,the,1
include,the,full,1
Gutenbergtm,License,as,1
License,as,specified,1
as,specified,in,1
specified,in,paragraph,1
paragraph,1E1,1E7,1
1E1,1E7,Do,1
1E7,Do,not,1
Do,not,charge,1
not,charge,a,1
fee,for,access,1
for,access,to,1
access,to,viewing,1
to,viewing,displaying,1
viewing,displaying,performing,1
displaying,performing,copying,1
performing,copying,or,1
copying,or,distributing,1
or,distributing,any,1
distributing,any,Project,1
Gutenbergtm,works,unless,1
works,unless,you,1
unless,you,comply,1
you,comply,with,1
comply,with,paragraph,1
with,paragraph,1E8,1
paragraph,1E8,or,1
or,1E9,1E8,1
1E9,1E8,You,1
1E8,You,may,1
You,may,charge,1
may,charge,a,1
charge,a,reasonable,1
a,reasonable,fee,1
reasonable,fee,for,1
fee,for,copies,1
copies,of,or,1
of,or,providing,1
to,or,distributing,1
or,distributing,Project,1
electronic,works,provided,1
works,provided,that,1
provided,that,You,1
that,You,pay,1
You,pay,a,1
pay,a,royalty,1
a,royalty,fee,1
royalty,fee,of,1
fee,of,20,1
of,20,of,1
20,of,the,1
of,the,gross,1
the,gross,profits,1
gross,profits,you,1
profits,you,derive,1
you,derive,from,1
derive,from,the,1
from,the,use,1
use,of,Project,1
Gutenbergtm,works,calculated,1
works,calculated,using,1
calculated,using,the,1
using,the,method,1
the,method,you,1
method,you,already,1
you,already,use,1
already,use,to,1
use,to,calculate,1
to,calculate,your,1
calculate,your,applicable,1
your,applicable,taxes,1
applicable,taxes,The,1
taxes,The,fee,1
The,fee,is,1
fee,is,owed,1
is,owed,to,1
owed,to,the,1
to,the,owner,1
Gutenbergtm,trademark,but,1
trademark,but,he,1
but,he,has,1
he,has,agreed,1
has,agreed,to,1
agreed,to,donate,1
to,donate,royalties,1
donate,royalties,under,1
royalties,under,this,1
under,this,paragraph,1
this,paragraph,to,1
paragraph,to,the,1
Archive,Foundation,Royalty,1
Foundation,Royalty,payments,1
Royalty,payments,must,1
payments,must,be,1
must,be,paid,1
be,paid,within,1
paid,within,60,1
within,60,days,1
60,days,following,1
days,following,each,1
following,each,date,1
each,date,on,1
date,on,which,1
on,which,you,1
which,you,prepare,1
you,prepare,or,1
prepare,or,are,1
or,are,legally,1
are,legally,required,1
legally,required,to,1
required,to,prepare,1
to,prepare,your,1
prepare,your,periodic,1
your,periodic,tax,1
periodic,tax,returns,1
tax,returns,Royalty,1
returns,Royalty,payments,1
Royalty,payments,should,1
payments,should,be,1
should,be,clearly,1
be,clearly,marked,1
clearly,marked,as,1
marked,as,such,1
as,such,and,1
such,and,sent,1
and,sent,to,1
sent,to,the,1
Archive,Foundation,at,1
Foundation,at,the,1
at,the,address,1
the,address,specified,1
address,specified,in,1
specified,in,Section,1
in,Section,4,1
Information,about,donations,1
about,donations,to,1
donations,to,the,1
Archive,Foundation,You,1
Foundation,You,provide,1
You,provide,a,1
provide,a,full,1
money,paid,by,1
paid,by,a,1
by,a,user,1
a,user,who,1
user,who,notifies,1
who,notifies,you,1
notifies,you,in,1
you,in,writing,1
in,writing,or,1
writing,or,by,1
or,by,email,1
by,email,within,1
email,within,30,1
within,30,days,1
30,days,of,1
of,receipt,that,1
receipt,that,she,1
that,she,does,1
she,does,not,1
does,not,agree,1
agree,to,the,1
of,the,full,1
Gutenbergtm,License,You,1
License,You,must,1
You,must,require,1
must,require,such,1
require,such,a,1
such,a,user,1
a,user,to,1
user,to,return,1
to,return,or,1
copies,of,the,1
of,the,works,1
the,works,possessed,1
works,possessed,in,1
possessed,in,a,1
in,a,physical,1
physical,medium,and,1
medium,and,discontinue,1
and,discontinue,all,1
discontinue,all,use,1
all,use,of,1
use,of,and,1
of,and,all,1
and,all,access,1
all,access,to,1
access,to,other,1
to,other,copies,1
other,copies,of,1
Gutenbergtm,works,You,1
works,You,provide,1
You,provide,in,1
provide,in,accordance,1
accordance,with,paragraph,1
with,paragraph,1F3,1
paragraph,1F3,a,1
1F3,a,full,1
money,paid,for,1
paid,for,a,1
for,a,work,1
a,work,or,1
work,or,a,1
or,a,replacement,1
replacement,copy,if,1
copy,if,a,1
if,a,defect,1
defect,in,the,1
in,the,electronic,1
the,electronic,work,1
work,is,discovered,1
is,discovered,and,1
discovered,and,reported,1
and,reported,to,1
reported,to,you,1
to,you,within,1
you,within,90,1
of,receipt,of,1
receipt,of,the,1
work,You,comply,1
You,comply,with,1
with,all,other,1
all,other,terms,1
other,terms,of,1
agreement,for,free,1
for,free,distribution,1
Gutenbergtm,works,1E9,1
works,1E9,If,1
1E9,If,you,1
If,you,wish,1
you,wish,to,1
wish,to,charge,1
to,charge,a,1
a,fee,or,1
fee,or,distribute,1
or,distribute,a,1
distribute,a,Project,1
work,or,group,1
or,group,of,1
group,of,works,1
of,works,on,1
works,on,different,1
on,different,terms,1
different,terms,than,1
terms,than,are,1
than,are,set,1
are,set,forth,1
you,must,obtain,1
must,obtain,permission,1
obtain,permission,in,1
permission,in,writing,1
in,writing,from,1
writing,from,both,1
from,both,the,1
both,the,Project,1
Foundation,and,Michael,1
and,Michael,Hart,1
Michael,Hart,the,1
Hart,the,owner,1
Gutenbergtm,trademark,Contact,1
trademark,Contact,the,1
Contact,the,Foundation,1
the,Foundation,as,1
Foundation,as,set,1
forth,in,Section,1
in,Section,3,1
Section,3,below,1
3,below,1F,1
below,1F,1F1,1
1F,1F1,Project,1
1F1,Project,Gutenberg,1
Project,Gutenberg,volunteers,1
Gutenberg,volunteers,and,1
and,employees,expend,1
employees,expend,considerable,1
expend,considerable,effort,1
considerable,effort,to,1
effort,to,identify,1
to,identify,do,1
identify,do,copyright,1
do,copyright,research,1
copyright,research,on,1
research,on,transcribe,1
on,transcribe,and,1
transcribe,and,proofread,1
and,proofread,public,1
proofread,public,domain,1
public,domain,works,1
domain,works,in,1
works,in,creating,1
in,creating,the,1
creating,the,Project,1
Gutenbergtm,collection,Despite,1
collection,Despite,these,1
Despite,these,efforts,1
these,efforts,Project,1
efforts,Project,Gutenbergtm,1
electronic,works,and,1
works,and,the,1
and,the,medium,1
the,medium,on,1
medium,on,which,1
on,which,they,1
which,they,may,1
they,may,be,1
may,be,stored,1
be,stored,may,1
stored,may,contain,1
may,contain,Defects,1
contain,Defects,such,1
Defects,such,as,1
such,as,but,1
as,but,not,1
but,not,limited,1
not,limited,to,1
limited,to,incomplete,1
to,incomplete,inaccurate,1
